isin,source,vendor_symbol,mic,currency,is_primary,valid_from
NL0000235190,yfinance,AIR.PA,XPAR,EUR,true,1900-01-01
FR0000121014,yfinance,MC.PA,XPAR,EUR,true,1900-01-01
FR0000120271,yfinance,TTE.PA,XPAR,EUR,true,1900-01-01
FR0000120578,yfinance,SAN.PA,XPAR,EUR,true,1900-01-01
DE0007164600,yfinance,SAP.DE,XETR,EUR,true,1900-01-01
DE0007236101,yfinance,SIE.DE,XETR,EUR,true,1900-01-01
DE0008404005,yfinance,ALV.DE,XETR,EUR,true,1900-01-01
NL0010273215,yfinance,ASML.AS,XAMS,EUR,true,1900-01-01
NL0011821202,yfinance,INGA.AS,XAMS,EUR,true,1900-01-01
IT0000072618,yfinance,ISP.MI,XMIL,EUR,true,1900-01-01
ES0148396007,yfinance,ITX.MC,XMAD,EUR,true,1900-01-01
GB00BP6MXD84,yfinance,SHEL.L,XLON,GBp,true,1900-01-01
GB0009895292,yfinance,AZN.L,XLON,GBp,true,1900-01-01
CH0038863350,yfinance,NESN.SW,XSWX,CHF,true,1900-01-01
CH0012005267,yfinance,NOVN.SW,XSWX,CHF,true,1900-01-01
